Links to profile,Links to publication,Name Account/Influencer,Professional Activity,Account description,Number of posts,Number of followers,Number of followings,Verified Status
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B-1bJrPAzn8/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B-4diisg0GA/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B-6_3FugRaE/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B-S6P4bAMV4/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B-W85F7Asr8/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B-b6f7_gooQ/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B-jykkWAhiM/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B-mvvtxA_6D/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B-t9UMlAcP0/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B-z8BjjgiZb/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B03-97RAY70/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B089ZI3g6KO/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B0AqbXCI4z-/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B0B5V8VA6yN/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B0EEd1KgNMn/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B0GWUAhIAwb/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
