Links to profile,Links to publication,Name Account/Influencer,Professional Activity,Account description,Number of posts,Number of followers,Number of followings,Verified Status
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B-3BLbJjjnX/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B-7oDJKjKSJ/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B-GjsBPjTXE/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B-kwNOCD3Lw/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B0GnT31D2Wo/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B0OWh8PjiTE/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B0eDmZBD_2r/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B0lxkYaDVnk/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B0n3T0mjSPy/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B19Uj7sDRou/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B1FDSYZDZZn/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B1T7ZggD0eO/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B1tvumWDFdI/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B1wimt0jx96/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B291lumjWz1/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B2Km38ujj_h/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B2Pl-jBjF18/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B2URFA4jDqF/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B2VU5TVj7HC/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B2W_Pyojoar/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B2b2NNJDNQD/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B2b8GBVD7g1/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B2cIL5ZDi4X/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B2e1teED5Oi/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B2orCWHjblY/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B2qF8kjjEOs/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B2velK1Dwsg/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B2w3-HMjHGD/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified
