Links to profile,Links to publication,Name Account/Influencer,Professional Activity,Account description,Number of posts,Number of followers,Number of followings,Verified Status,Post description,Post number of comments,Post number of likes,Posting date,Media Type
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B-1bJrPAzn8/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié,Another week of playing inside and staying active. Thanks to everyone for trying to beat me 😉 maybe next time! Over to you @bebe_vio. Get ready! #livingroomcup #playinside,22995,15 023 301,2020-04-11T09:02:26.000Z,Video
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B-4diisg0GA/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié,"We wish a Happy Easter to everyone 🌍❤️🙏
#stayhome",62374,9 661 590,2020-04-12T13:18:16.000Z,Photo
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B-6_3FugRaE/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié,".

Kids, let the Dad do his work 🤷🏻‍♂️❤️😝 #stayhome #stayactive",108402,43 462 083,2020-04-13T12:57:43.000Z,Video
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B-S6P4bAMV4/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié,Feeling very thankful to have my mum home from hospital and recovering. Look after your families and loved ones. #stayhomesavelives,62612,9 435 202,2020-03-28T23:17:59.000Z,Photo
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B-W85F7Asr8/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié,"In this difficult moment for the whole world, let’s be thankful for the things that matter - our health, our family, our loved ones. Stay home and let’s help all the health workers out there fighting to save lives.🙏🏽❤️🌈 #stayhomesavelives",67666,9 668 361,2020-03-30T12:58:03.000Z,Photo
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B-b6f7_gooQ/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié,"Breathe in, breathe out.🧘‍♂️ Stay active🏃🏻‍♂️ #stayhomesavelives",105639,12 111 094,2020-04-01T11:13:21.000Z,Photo
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B-jykkWAhiM/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié,Stay home and keep stylish 💇🏽‍♂️👩‍❤️‍💋‍👨 #stayhomestaysafe,173647,65 086 483,2020-04-04T12:40:16.000Z,Video
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B-mvvtxA_6D/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié,"Hey guys, I have a new challenge for you to stay active: the Living Room Cup 🏆. Can you step up and beat my core crusher record? Show me what you got and use #livingroomcup #playinside @nike @cristiano so I can 👀 you!",93358,43 202 154,2020-04-05T16:11:33.000Z,Video
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B-t9UMlAcP0/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié,"My beautiful training partner!🏃🏻‍♀️💪🏽
#stayactive #stayhome",97695,50 481 230,2020-04-08T11:25:25.000Z,Video
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B-z8BjjgiZb/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié,In this very difficult moment for our world it is important we unite and support each other. Let’s all do what we can to help. #beyondthemask #nevergiveup,63254,10 166 231,2020-04-10T19:08:27.000Z,Photo
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B03-97RAY70/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié,Work in progress ⚽️👌🏻💪🏻,24667,5 008 456,2019-08-07T19:37:11.000Z,Photo
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B089ZI3g6KO/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié,We’re already in Sweden for tomorrow's game ⚽️👌🏻💪🏻,29011,5 100 542,2019-08-09T17:59:38.000Z,Photo
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B0AqbXCI4z-/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié,"Inspired by my friends in China. This one is for the commanders of the pitch. #Shuai
Available today on Nike.com/football",15792,3 607 866,2019-07-17T07:59:29.000Z,Photo
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B0B5V8VA6yN/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié,Even in the dark I can shine ⚫️💎⚪️ 🤪,26365,4 716 439,2019-07-17T19:29:03.000Z,Photo
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B0EEd1KgNMn/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié,Chá das cinco ☕️ 😜,44547,7 453 359,2019-07-18T15:44:44.000Z,Photo
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B0GWUAhIAwb/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié,Let's go🛫,29288,5 737 048,2019-07-19T12:59:09.000Z,Photo
