Links to profile,Links to publication,Name Account/Influencer,Professional Activity,Account description,Number of posts,Number of followers,Number of followings,Verified Status,Post description,Post number of comments,Post number of likes,Posting date,Media Type
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B-3BLbJjjnX/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,"1 week as a blonde, remember?",34879,"7,362,421",2020-04-11T23:51:13.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B-7oDJKjKSJ/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,@calvinklein in SOHO by @mario_sorrenti,13825,"2,767,452",2020-04-13T18:47:50.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B-GjsBPjTXE/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,"i miss my friends 🥺
the sooner we quarantine, the sooner we can get back to our peoples again",22648,"3,024,985",2020-03-24T04:09:58.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B-kwNOCD3Lw/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,wbu???,37464,"4,962,104",2020-04-04T21:36:35.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B0GnT31D2Wo/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,w/ @mertalas 🖤,79066,"6,656,783",2019-07-19T15:27:41.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B0OWh8PjiTE/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,🐞,47023,"4,778,518",2019-07-22T15:34:59.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B0eDmZBD_2r/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,No caption,19319,"2,322,874",2019-07-28T17:57:25.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B0lxkYaDVnk/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,I love working with @moon to create innovative oral beauty products like my teeth whitening pen. It's so easy to use and a perfect on-the-go beauty product to keep in your bag! #moon_partner,8936,"9,982,484",2019-07-31T17:54:30.000Z,Video
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B0n3T0mjSPy/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,last day on set for the summer,48131,"1,439,019",2019-08-01T13:22:25.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B19Uj7sDRou/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,One of my favorites from the new @stuartweitzman campaign in the #LESLEY over-the-knee boots #SWDANCE #SWFall19 #SWWomen #ad,11667,"1,636,020",2019-09-03T17:53:29.000Z,Photo
