Links to profile,Links to publication,Name Account/Influencer,Professional Activity,Account description,Number of posts,Number of followers,Number of followings,Verified Status,Post description,Post number of comments,Post number of likes,Posting date,Media Type
https://www.instagram.com/julientantiplein/,https://www.instagram.com/p/B-2SOCIq0G_/,Julien Tanti,"['Clothing & Outfits', 'Music', 'Art/Artists']",Julien Tanti Twitter : @julienmiami 👻 snap: jtplein 📧📧Mail pro : pro.julient@shaunaevents.com,1 717 publications,4 552 650,189,Vérifié,"4 millions wouahhh si un jour on me l’avais dit je l’aurais pas cru !
merci à tous d’être de plus en plus nombreux je vous aimes ❤️ Bientôt on fête mes 10 ans sur w9 ❤️🙏🏽 Je tenais à vous remercier pour tout le bonheur que vous m’apporter chaque jour ! Je suis conscient de la chance que j’ai et je ne vous en remercierai jamais assez !! 4 millions de bonheur ! 4 millions d’amour ! MERCI sans exception à tout ceux qui m’ont permis d’en arriver là aujourd’hui 🙏🙏 je suis l’homme le plus heureux du monde, j’ai une femme merveilleuse et je suis père ! Ma plus belle récompense ! Je n’oublierai jamais d’où je viens ! Jamais je n’y aurai cru ! Comme quoi il faut qu’on garde tous espoir et je veux vous faire passer ce message aujourd’hui ! Je continuerai à vous détendre et à vous apporter de la bonne humeur via mes réseaux sociaux et même si la situation est compliquée pour tout le monde : je vous le dois !! Merci encore je vous aime tous 🙏🙏❤️❤️❤️",1127,216 063,2020-04-11T17:00:52.000Z,Photo
https://www.instagram.com/julientantiplein/,https://www.instagram.com/p/B-421uHq8ms/,Julien Tanti,"['Clothing & Outfits', 'Music', 'Art/Artists']",Julien Tanti Twitter : @julienmiami 👻 snap: jtplein 📧📧Mail pro : pro.julient@shaunaevents.com,1 717 publications,4 552 650,189,Vérifié,"Pâques aujourd’hui 😍
Pour Tiago ça a été sa première découverte d’œuf en chocolat dans le jardin il était surpris et émerveillé 😂❤️",541,193 315,2020-04-12T16:59:21.000Z,Photo
https://www.instagram.com/julientantiplein/,https://www.instagram.com/p/B-ML9sGCtok/,Julien Tanti,"['Clothing & Outfits', 'Music', 'Art/Artists']",Julien Tanti Twitter : @julienmiami 👻 snap: jtplein 📧📧Mail pro : pro.julient@shaunaevents.com,1 717 publications,4 552 650,189,Vérifié,"Père et fils ❤️😍 Les frates Restez chez vous sauvez le monde 🌍 ❤️🙏🏽
#stayathome #restezalamaison",446,212 525,2020-03-26T08:38:07.000Z,Photo
https://www.instagram.com/julientantiplein/,https://www.instagram.com/p/B-P5SkgiP8D/,Julien Tanti,"['Clothing & Outfits', 'Music', 'Art/Artists']",Julien Tanti Twitter : @julienmiami 👻 snap: jtplein 📧📧Mail pro : pro.julient@shaunaevents.com,1 717 publications,4 552 650,189,Vérifié,On as vraiment adoré Cuba petit cliché du shooting réalisé à 🇨🇺 rdv tout les soirs sur w9 les Frates ! ❤️😍,242,122 893,2020-03-27T19:11:54.000Z,Photo
https://www.instagram.com/julientantiplein/,https://www.instagram.com/p/B-PEJrnik63/,Julien Tanti,"['Clothing & Outfits', 'Music', 'Art/Artists']",Julien Tanti Twitter : @julienmiami 👻 snap: jtplein 📧📧Mail pro : pro.julient@shaunaevents.com,1 717 publications,4 552 650,189,Vérifié,Bonne journée les Frates ❤️🙏🏽 Mr & Mrs Tanti ☺️,205,134 689,2020-03-27T11:27:34.000Z,Photo
https://www.instagram.com/julientantiplein/,https://www.instagram.com/p/B-RRyCWCcN6/,Julien Tanti,"['Clothing & Outfits', 'Music', 'Art/Artists']",Julien Tanti Twitter : @julienmiami 👻 snap: jtplein 📧📧Mail pro : pro.julient@shaunaevents.com,1 717 publications,4 552 650,189,Vérifié,"J’adore cette photo ❤️😍 Cuba 🇨🇺 destination magnifique 🙏🏽🌍
Quel es ta destination que tu me conseille pour des prochaines vacances ? Et pourquoi ?
Bonne journée ❤️🙏🏽 #stayathome #restezchezvous #lesvacancespour2021",797,231 324,2020-03-28T08:05:09.000Z,Photo
https://www.instagram.com/julientantiplein/,https://www.instagram.com/p/B-SX_M8Cmvy/,Julien Tanti,"['Clothing & Outfits', 'Music', 'Art/Artists']",Julien Tanti Twitter : @julienmiami 👻 snap: jtplein 📧📧Mail pro : pro.julient@shaunaevents.com,1 717 publications,4 552 650,189,Vérifié,"#sponsorisé
Hello tout le monde! ⚡J’organise un #concours avec @jeansindustrymen

Je sais que vous aimez beaucoup la marque, je vous propose donc d’y participer afin de remporter un bon d'achat de 100€ sur le site @jeansindustrymen !
_
Les conditions de participation sont simples :
_
✖Suivre le compte @jeansindustrymen
_
✖Suivre mon compte
_
✖ Commentez cette photo en identifiant 3 amis
/\
Le tirage au sort aura lieu sur la story Insta de @jeansindustrymen dans 48h /\
Toutes les conditions doivent être remplies sinon une autre personne sera tirée au sort par la marque !
Bonne chance à tous ! 🍀
#jeansindustry #ad
@shaunaevents",623,93 687,2020-03-28T18:18:37.000Z,Photo
https://www.instagram.com/julientantiplein/,https://www.instagram.com/p/B-co-oaifBR/,Julien Tanti,"['Clothing & Outfits', 'Music', 'Art/Artists']",Julien Tanti Twitter : @julienmiami 👻 snap: jtplein 📧📧Mail pro : pro.julient@shaunaevents.com,1 717 publications,4 552 650,189,Vérifié,"#sponsorisé
CONCOURS SPÉCIAL CONFINEMENT 💶📱✈️
[À NE PAS RATER ⬇🎁]
Pour partager du positif en cette période particulière, j’ai le plaisir de te faire participer au plus gros concours du moment avec DES LOTS JUSTES INCROYABLES ! 😱
⬇ En participant tu auras la chance de pouvoir gagner 4 ÉNORMES lots !
Lot 1: Un voyage à Dubaï pour deux personnes dans un magnifique hôtel 5 étoiles pendant une semaine ✈️ En couple, entre ami(e) ou en famille.
Valable 2 ans à partir de la reprises des vols.
Lot 2 : Un IPhone 11 ou Téléphone de ton choix ! 📱
Lots 3 et 4 : 2 x 250€ en bons d’achats sur le site de ton choix 💶🎁 !
___
Pour participer c’est très simple !
Il suffit de :
❤ - Liker la publication en identifiant 2 ami(e)s 🎁 - Suivre @leaderstars et suivre tous les comptes suivis par @leaderstars. [ON VÉRIFIE 🔍]
-
Le tirage au sort aura lieu le dimanche 12 Avril sur @leaderstars
Pour augmenter tes chances, c’est simple ⬇ 🍀 Un partage en story = 10x plus de chance de gagner le voyage à Dubaï ! ✈️🌇 (Les partages sont screens)
Si tu veux maximiser tes chances ... tu sais ce qu’il te restes à faire 😉
Tirage au sort encadré sous agence et controlé par un huissier de justice. 🤝
Plus de détails sur la page @leaderstars
Bonne chance à tous ! 🎁
Et surtout prenez soin de vous et restez chez vous ❤
@shaunaevents #shaunaevents",8738,175 321,2020-04-01T17:59:30.000Z,Photo
https://www.instagram.com/julientantiplein/,https://www.instagram.com/p/B-j1dnBiISa/,Julien Tanti,"['Clothing & Outfits', 'Music', 'Art/Artists']",Julien Tanti Twitter : @julienmiami 👻 snap: jtplein 📧📧Mail pro : pro.julient@shaunaevents.com,1 717 publications,4 552 650,189,Vérifié,"#sponsorisé
Concours EXCEPTIONNEL X Sonia Tlev
❤️Tentez de remporter un Iphone 11 + une carte cadeau Nike d’une valeur de 500 euros
Pour participer : ➡️Suivre @soniatlevfitness ➡️Commente ta participation et invite deux amis ⭐️Double chance de gagner ⬇️ Profitez de mon code promo TANTI30 sur tous les programmes de sport et nutritionnels de Sonia : www.soniatlev.fr
✅Résultats dans la story de Sonia le Lundi 13 Avril 💥
@shaunaevents",4055,65 578,2020-04-04T13:03:16.000Z,Photo
https://www.instagram.com/julientantiplein/,https://www.instagram.com/p/B7829R3CFqJ/,Julien Tanti,"['Clothing & Outfits', 'Music', 'Art/Artists']",Julien Tanti Twitter : @julienmiami 👻 snap: jtplein 📧📧Mail pro : pro.julient@shaunaevents.com,1 717 publications,4 552 650,189,Vérifié,"EXCLU !
Avant première des marseillais au cinéma l’europacorp à La joliette MARSEILLE le mercredi 12 février !! je vous met le mail pour pouvoir tenter ça chance et voir les premiers épisodes en exclu avec nous: 🔥🔥 rsvp@parisjunket.com 🔥🔥
Pour ceux qui n aurons pas eu leur place vous nous retrouverez tous ensemble devant le cinéma !!! Enjoy ❤️🙏🏽",240,50 215,2020-01-30T16:43:09.000Z,Photo
