Links to profile,Name Account/Influencer,Professional Activity,Nationality,Brand,Account description,Number of posts,Number of followers,Number of followings,Verified Status,Publication number,Post description,Post number of comments,Post number of likes,Posting date,Media Type
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,1,Dedication ✌️👌👍💪🏽☀️,5493,887 061,2015-12-03T12:56:22.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,2,Job done!👌👔☀️ @sacoorbrothers,8546,1 064 362,2015-12-03T15:47:15.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,3,Good night ✌️👍⚽️❤️💋,8604,1 117 266,2015-12-03T23:12:03.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,4,Ready for tomorrow👌👍✌️✌👍🏻,6841,974 514,2015-12-04T12:07:55.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,5,One of my favourite pieces from the X-mas collection. Check out www.CR7underwear.com to see all of our new styles.,7742,2 280 179,2015-12-04T15:46:47.000Z,Video
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,6,Goal⚽️👍👌,10689,1 091 940,2015-12-05T17:44:00.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,7,👍👍⚽️,7920,1 082 473,2015-12-05T22:37:10.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,8,Happy Sunday 👍☀️👌✌️⚽️❤️☀️,12514,1 373 525,2015-12-06T10:54:58.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,9,💤💤g night,12805,1 111 236,2015-12-06T21:52:46.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,10,🚲🚲🚲❤️,6104,3 900 426,2015-12-06T16:58:17.000Z,Video
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,11,Funny moments 😜😜😜,21373,935 869,2015-11-13T13:10:19.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,12,👍👍😜😜😜😜,24086,1 121 919,2015-11-13T13:11:07.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,13,I’m honored to sign a pair of the first Nike F.C. shoes inspired by a player: the Free Mercurial Superfly. The design celebrates my homeland of Madeira. Available now at nike.com/footballapp and Nike stores. #nikefc,3640,830 575,2015-11-14T10:01:02.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,14,I can't be indifferent to the horror of the Paris attacks. My thoughts go to the victims and their families. #prayers4paris,13263,1 451 991,2015-11-14T12:22:37.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,15,Workout session ⚽️💪,7113,1 036 094,2015-11-14T16:40:52.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,16,Technique improved 👍⚽️☀️,5790,1 015 959,2015-11-15T14:10:14.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,17,Sunday mood ✌️❤️,12446,1 277 483,2015-11-15T17:37:09.000Z,Photo
